08-05 03:42:35.686  5072  5072 D ReactNative: ReactInstanceManager.onJSBundleLoadedFromServer()
08-05 03:42:35.686  5072  5072 D ReactNative: ReactInstanceManager.recreateReactContextInBackground()
08-05 03:42:35.686  5072  5072 D ReactNative: ReactInstanceManager.runCreateReactContextOnNewThread()
08-05 03:42:35.686  5072  5072 D ReactNative: ReactInstanceManager.tearDownReactContext()
08-05 03:42:35.690  5072  5072 D ReactNative: CatalystInstanceImpl.destroy() start
08-05 03:42:35.692  5072  9268 D ReactNative: ReactInstanceManager.createReactContext()
08-05 03:42:35.803  5072  9270 D ReactNative: CatalystInstanceImpl.destroy() end
08-05 03:42:35.808  5072  9268 D ReactNative: Initializing React Xplat Bridge.
08-05 03:42:35.809  5072  9268 D ReactNative: Initializing React Xplat Bridge before initializeBridge
08-05 03:42:35.815  5072  9268 D ReactNative: Initializing React Xplat Bridge after initializeBridge
08-05 03:42:35.815  5072  9268 D ReactNative: CatalystInstanceImpl.runJSBundle()
08-05 03:42:35.816  5072  9273 D ReactNative: ReactInstanceManager.setupReactContext()
08-05 03:42:35.816  5072  9273 D ReactNative: CatalystInstanceImpl.initialize()
08-05 03:42:35.816  5072  9273 D ReactNative: ReactInstanceManager.attachRootViewToInstance()
08-05 03:42:37.546  5072  9272 W ReactNativeJS: { head: 
08-05 03:42:37.546  5072  9272 W ReactNativeJS:    { tag: 0,
08-05 03:42:37.546  5072  9272 W ReactNativeJS:      data: 
08-05 03:42:37.546  5072  9272 W ReactNativeJS:       [ { tag: 0 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 1 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 2 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 3 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 4 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 5 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 6 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 7 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 8 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 9 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 10 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 11 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 12 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 13 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 14 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 15 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 16 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 17 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 18 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 19 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 20 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 21 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 22 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 23 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 27 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 28 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 29 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 30 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 31 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 32 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 33 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 34 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 35 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 36 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 37 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 38 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 39 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 40 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 41 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 42 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 43 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 44 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 45 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 46 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 47 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 48 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 49 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 50 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 51 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 52 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 53 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 54 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 55 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 56 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 57 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 58 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 59 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 60 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         { tag: 61 } ] },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:   tail: 
08-05 03:42:37.546  5072  9272 W ReactNativeJS:    { head: 
08-05 03:42:37.546  5072  9272 W ReactNativeJS:       { tag: 1,
08-05 03:42:37.546  5072  9272 W ReactNativeJS:         data: 
08-05 03:42:37.546  5072  9272 W ReactNativeJS:          [ { tag: 0 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:            { tag: 1 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:            { tag: 2 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:            { tag: 3 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:            { tag: 4 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:            { tag: 5 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:            { tag: 6 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:            { tag: 7 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:            { tag: 8 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:            { tag: 9 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:            { tag: 10 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:            { tag: 11 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:            { tag: 12 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:            { tag: 13 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:            { tag: 14 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:            { tag: 15 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:            { tag: 16 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:            { tag: 17 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:            { tag: 18 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:            { tag: 19 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:            { tag: 20 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:            { tag: 21 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:            { tag: 22 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:            { tag: 23 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:            { tag: 24 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:            { tag: 25 },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:            { tag: 26 } ] },
08-05 03:42:37.546  5072  9272 W ReactNativeJS:      tail: { head: undefined, tail: undefined } } }
08-05 03:42:37.570  5072  9272 W ReactNativeJS: { head: { tag: 0, data: { [Function: curriedFn] curried: true } },
08-05 03:42:37.570  5072  9272 W ReactNativeJS:   tail: 
08-05 03:42:37.570  5072  9272 W ReactNativeJS:    { head: { tag: 1, data: { [Function: curriedFn] curried: true } },
08-05 03:42:37.570  5072  9272 W ReactNativeJS:      tail: { head: undefined, tail: undefined } } }
08-05 03:42:37.591  5072  9272 W ReactNativeJS: { head: { tag: 0, data: 25 },
08-05 03:42:37.591  5072  9272 W ReactNativeJS:   tail: 
08-05 03:42:37.591  5072  9272 W ReactNativeJS:    { head: { tag: 1, data: 5 },
08-05 03:42:37.591  5072  9272 W ReactNativeJS:      tail: { head: undefined, tail: undefined } } }
08-05 03:42:37.605  5072  9272 I ReactNativeJS: Running application "FilterConstructor" with appParams: {"rootTag":161}. __DEV__ === true, development-level warning are ON, performance optimizations are OFF
08-05 03:42:37.648  5072  9272 W ReactNativeJS: { head: { tag: 0, data: 'slide' },
08-05 03:42:37.648  5072  9272 W ReactNativeJS:   tail: 
08-05 03:42:37.648  5072  9272 W ReactNativeJS:    { head: { tag: 1, data: 'fade' },
08-05 03:42:37.648  5072  9272 W ReactNativeJS:      tail: { head: undefined, tail: undefined } } }
08-05 03:42:37.659  5072  9272 W ReactNativeJS: { head: 
08-05 03:42:37.659  5072  9272 W ReactNativeJS:    { tag: 1,
08-05 03:42:37.659  5072  9272 W ReactNativeJS:      data: 
08-05 03:42:37.659  5072  9272 W ReactNativeJS:       [ { tag: 0,
08-05 03:42:37.659  5072  9272 W ReactNativeJS:           data: { tag: 0, data: { Name: 'Parrot', Source: 1 } } },
08-05 03:42:37.659  5072  9272 W ReactNativeJS:         { tag: 0,
08-05 03:42:37.659  5072  9272 W ReactNativeJS:           data: 
08-05 03:42:37.659  5072  9272 W ReactNativeJS:            { tag: 0,
08-05 03:42:37.659  5072  9272 W ReactNativeJS:              data: 
08-05 03:42:37.659  5072  9272 W ReactNativeJS:               { Name: 'React logo',
08-05 03:42:37.659  5072  9272 W ReactNativeJS:                 Source: { uri: 'https://tinyurl.com/y8xs3ehd' } } } },
08-05 03:42:37.659  5072  9272 W ReactNativeJS:         { tag: 0,
08-05 03:42:37.659  5072  9272 W ReactNativeJS:           data: 
08-05 03:42:37.659  5072  9272 W ReactNativeJS:            { tag: 0,
08-05 03:42:37.659  5072  9272 W ReactNativeJS:              data: 
08-05 03:42:37.659  5072  9272 W ReactNativeJS:               { Name: 'Triangle',
08-05 03:42:37.659  5072  9272 W ReactNativeJS:                 Source: { uri: 'https://tinyurl.com/ycedtewy' } } } },
08-05 03:42:37.659  5072  9272 W ReactNativeJS:         { tag: 0,
08-05 03:42:37.659  5072  9272 W ReactNativeJS:           data: 
08-05 03:42:37.659  5072  9272 W ReactNativeJS:            { tag: 1,
08-05 03:42:37.659  5072  9272 W ReactNativeJS:              data: 
08-05 03:42:37.659  5072  9272 W ReactNativeJS:               { Name: 'Random',
08-05 03:42:37.659  5072  9272 W ReactNativeJS:                 Source: { uri: 'https://picsum.photos/320.000000?image=410.000000&t=1533429757317.000000' } } } },
08-05 03:42:37.659  5072  9272 W ReactNativeJS:         { tag: 0,
08-05 03:42:37.659  5072  9272 W ReactNativeJS:           data: { tag: 2, data: { Name: 'Pick image', Source: null } } } ] },
08-05 03:42:37.659  5072  9272 W ReactNativeJS:   tail: 
08-05 03:42:37.659  5072  9272 W ReactNativeJS:    { head: 
08-05 03:42:37.659  5072  9272 W ReactNativeJS:       { tag: 0,
08-05 03:42:37.659  5072  9272 W ReactNativeJS:         data: 
08-05 03:42:37.659  5072  9272 W ReactNativeJS:          [ { tag: 0,
08-05 03:42:37.659  5072  9272 W ReactNativeJS:              data: { tag: 0, data: { Name: 'Parrot', Source: 1 } } },
08-05 03:42:37.659  5072  9272 W ReactNativeJS:            { tag: 0,
08-05 03:42:37.659  5072  9272 W ReactNativeJS:              data: 
08-05 03:42:37.659  5072  9272 W ReactNativeJS:               { tag: 0,
08-05 03:42:37.659  5072  9272 W ReactNativeJS:                 data: 
08-05 03:42:37.659  5072  9272 W ReactNativeJS:                  { Name: 'React logo',
08-05 03:42:37.659  5072  9272 W ReactNativeJS:                    Source: { uri: 'https://tinyurl.com/y8xs3ehd' } } } },
08-05 03:42:37.659  5072  9272 W ReactNativeJS:            { tag: 0,
08-05 03:42:37.659  5072  9272 W ReactNativeJS:              data: 
08-05 03:42:37.659  5072  9272 W ReactNativeJS:               { tag: 0,
08-05 03:42:37.659  5072  9272 W ReactNativeJS:                 data: 
08-05 03:42:37.659  5072  9272 W ReactNativeJS:                  { Name: 'Triangle',
08-05 03:42:37.659  5072  9272 W ReactNativeJS:                    Source: { uri: 'https://tinyurl.com/ycedtewy' } } } },
08-05 03:42:37.659  5072  9272 W ReactNativeJS:            { tag: 0,
08-05 03:42:37.659  5072  9272 W ReactNativeJS:              data: 
08-05 03:42:37.659  5072  9272 W ReactNativeJS:               { tag: 1,
08-05 03:42:37.659  5072  9272 W ReactNativeJS:                 data: 
08-05 03:42:37.659  5072  9272 W ReactNativeJS:                  { Name: 'Random',
08-05 03:42:37.659  5072  9272 W ReactNativeJS:                    Source: { uri: 'https://picsum.photos/320.000000?image=410.000000&t=1533429757317.000000' } } } },
08-05 03:42:37.659  5072  9272 W ReactNativeJS:            { tag: 0,
08-05 03:42:37.659  5072  9272 W ReactNativeJS:              data: { tag: 2, data: { Name: 'Pick image', Source: null } } },
08-05 03:42:37.659  5072  9272 W ReactNativeJS:            { tag: 1, data: undefined } ] },
08-05 03:42:37.659  5072  9272 W ReactNativeJS:      tail: { head: undefined, tail: undefined } } }
08-05 03:42:37.665  5072  9272 W ReactNativeJS: { head: { tag: 20, data: [Function] },
08-05 03:42:37.665  5072  9272 W ReactNativeJS:   tail: 
08-05 03:42:37.665  5072  9272 W ReactNativeJS:    { head: 
08-05 03:42:37.665  5072  9272 W ReactNativeJS:       { tag: 6,
08-05 03:42:37.665  5072  9272 W ReactNativeJS:         data: 
08-05 03:42:37.665  5072  9272 W ReactNativeJS:          { tag: 0,
08-05 03:42:37.665  5072  9272 W ReactNativeJS:            data: { tag: 0, data: { Name: 'Parrot', Source: 1 } } } },
08-05 03:42:37.665  5072  9272 W ReactNativeJS:      tail: 
08-05 03:42:37.665  5072  9272 W ReactNativeJS:       { head: { tag: 11, data: [Function] },
08-05 03:42:37.665  5072  9272 W ReactNativeJS:         tail: { head: undefined, tail: undefined } } } }
08-05 03:42:37.670  5072  9272 W ReactNativeJS: { head: { tag: 0, data: [Function: separator] },
08-05 03:42:37.670  5072  9272 W ReactNativeJS:   tail: { head: undefined, tail: undefined } }
08-05 03:42:37.677  5072  9272 W ReactNativeJS: { head: 
08-05 03:42:37.677  5072  9272 W ReactNativeJS:    { tag: 5,
08-05 03:42:37.677  5072  9272 W ReactNativeJS:      data: 
08-05 03:42:37.677  5072  9272 W ReactNativeJS:       { head: { tag: 37, data: '1.5%' },
08-05 03:42:37.677  5072  9272 W ReactNativeJS:         tail: 
08-05 03:42:37.677  5072  9272 W ReactNativeJS:          { head: { tag: 44, data: 5 },
08-05 03:42:37.677  5072  9272 W ReactNativeJS:            tail: { head: undefined, tail: undefined } } } },
08-05 03:42:37.677  5072  9272 W ReactNativeJS:   tail: 
08-05 03:42:37.677  5072  9272 W ReactNativeJS:    { head: 
08-05 03:42:37.677  5072  9272 W ReactNativeJS:       { tag: 22,
08-05 03:42:37.677  5072  9272 W ReactNativeJS:         data: 
08-05 03:42:37.677  5072  9272 W ReactNativeJS:          { head: { tag: 4, data: 'wheat' },
08-05 03:42:37.677  5072  9272 W ReactNativeJS:            tail: { head: undefined, tail: undefined } } },
08-05 03:42:37.677  5072  9272 W ReactNativeJS:      tail: 
08-05 03:42:37.677  5072  9272 W ReactNativeJS:       { head: { tag: 20, data: [Function] },
08-05 03:42:37.677  5072  9272 W ReactNativeJS:         tail: 
08-05 03:42:37.677  5072  9272 W ReactNativeJS:          { head: { tag: 11, data: [Function] },
08-05 03:42:37.677  5072  9272 W ReactNativeJS:            tail: { head: undefined, tail: undefined } } } } }
